18846 = { 
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18865 = { 
SN = 92000019
ItemId = 1002824
Count = 1
Price = 6000
Bonus = 0
Period = 90
Priority = 10
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18866 = { 
SN = 92000020
ItemId = 5130000
Count = 2
Price = 1000
Bonus = 0
Period = 90
Priority = 40
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18867 = { 
SN = 92000021
ItemId = 5360003
Count = 1
Price = 4000
Bonus = 0
Period = 7
Priority = 32
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18868 = { 
SN = 92000022
ItemId = 5211000
Count = 1
Price = 3500
Bonus = 0
Period = 7
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18869 = { 
SN = 92000023
ItemId = 1050157
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18870 = { 
SN = 92000024
ItemId = 1050158
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18871 = { 
SN = 92000025
ItemId = 1050159
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18872 = { 
SN = 92000026
ItemId = 1050160
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18873 = { 
SN = 92000027
ItemId = 1051195
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18874 = { 
SN = 92000028
ItemId = 1051196
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18875 = { 
SN = 92000029
ItemId = 1051197
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18876 = { 
SN = 92000030
ItemId = 1051198
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18877 = { 
SN = 92000031
ItemId = 5043001
Count = 10
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18878 = { 
SN = 92000032
ItemId = 5150045
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18879 = { 
SN = 92000033
ItemId = 5152051
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18880 = { 
SN = 92000034
ItemId = 5153014
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18881 = { 
SN = 92000035
ItemId = 5220009
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18882 = { 
SN = 92000036
ItemId = 5360050
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18883 = { 
SN = 92000037
ItemId = 5400000
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18884 = { 
SN = 92000038
ItemId = 5170000
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 50
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18885 = { 
SN = 92000039
ItemId = 5043000
Count = 10
Price = 10000
Bonus = 0
Period = 90
Priority = 80
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18886 = { 
SN = 92000040
ItemId = 5340000
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 90
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18887 = { 
SN = 92000041
ItemId = 1112905
Count = 1
Price = 2500
Bonus = 0
Period = 30
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18888 = { 
SN = 92000042
ItemId = 1112906
Count = 1
Price = 2500
Bonus = 0
Period = 30
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18889 = { 
SN = 92000043
ItemId = 1112905
Count = 1
Price = 2500
Bonus = 0
Period = 60
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18890 = { 
SN = 92000044
ItemId = 1112906
Count = 1
Price = 2500
Bonus = 0
Period = 60
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18891 = { 
SN = 92000045
ItemId = 1112905
Count = 1
Price = 2500
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18892 = { 
SN = 92000046
ItemId = 1112906
Count = 1
Price = 2500
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18893 = { 
SN = 92000047
ItemId = 5150003
Count = 1
Price = 12000
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18894 = { 
SN = 92000048
ItemId = 5030004
Count = 1
Price = 9000
Bonus = 0
Period = 7
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18895 = { 
SN = 92000049
ItemId = 5152005
Count = 1
Price = 12000
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18896 = { 
SN = 92000050
ItemId = 5510000
Count = 10
Price = 6000
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18897 = { 
SN = 92000051
ItemId = 5076000
Count = 1
Price = 3000
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18898 = { 
SN = 92000052
ItemId = 5122000
Count = 4
Price = 650
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18899 = { 
SN = 92000053
ItemId = 5470000
Count = 1
Price = 1000
Bonus = 0
Period = 5
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18900 = { 
SN = 92000054
ItemId = 5071000
Count = 5
Price = 450
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18901 = { 
SN = 92000055
ItemId = 5500000
Count = 1
Price = 400
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18902 = { 
SN = 92000056
ItemId = 5211000
Count = 1
Price = 0
Bonus = 0
Period = 1
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18903 = { 
SN = 92000057
ItemId = 5211061
Count = 1
Price = 0
Bonus = 0
Period = 1
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18904 = { 
SN = 92000058
ItemId = 5360052
Count = 1
Price = 0
Bonus = 0
Period = 1
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18905 = { 
SN = 92000059
ItemId = 5130000
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18906 = { 
SN = 92000060
ItemId = 5041000
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18907 = { 
SN = 92000061
ItemId = 5230000
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18908 = { 
SN = 92000062
ItemId = 5450000
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18909 = { 
SN = 92000063
ItemId = 5151002
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18910 = { 
SN = 92000064
ItemId = 5153000
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18911 = { 
SN = 92000065
ItemId = 5152000
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18912 = { 
SN = 92000066
ItemId = 5390002
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18913 = { 
SN = 92000067
ItemId = 5220014
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18914 = { 
SN = 92000068
ItemId = 5150001
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18915 = { 
SN = 92000069
ItemId = 5150003
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18916 = { 
SN = 92000070
ItemId = 5030000
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18917 = { 
SN = 92000071
ItemId = 5000067
Count = 1
Price = 0
Bonus = 0
Period = 0
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18918 = { 
SN = 92000072
ItemId = 5570000
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18919 = { 
SN = 92000073
ItemId = 5062000
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18920 = { 
SN = 92000074
ItemId = 5620004
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18921 = { 
SN = 92000075
ItemId = 5620005
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18922 = { 
SN = 92000076
ItemId = 5050000
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18923 = { 
SN = 92000077
ItemId = 5050001
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18924 = { 
SN = 92000078
ItemId = 5050002
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18925 = { 
SN = 92000079
ItemId = 5050003
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18926 = { 
SN = 92000080
ItemId = 5050004
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18927 = { 
SN = 92000081
ItemId = 5071000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18928 = { 
SN = 92000082
ItemId = 5450000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 96
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18929 = { 
SN = 92000083
ItemId = 1112908
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 80
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18930 = { 
SN = 92000084
ItemId = 5122000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 95
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18931 = { 
SN = 92000085
ItemId = 5510000
Count = 3
Price = 0
Bonus = 0
Period = 90
Priority = 80
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18932 = { 
SN = 92000086
ItemId = 5152056
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 97
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18933 = { 
SN = 92000087
ItemId = 5071000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18934 = { 
SN = 92000088
ItemId = 5450000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 96
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18935 = { 
SN = 92000089
ItemId = 1112908
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 80
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18936 = { 
SN = 92000090
ItemId = 5122000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 95
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18937 = { 
SN = 92000091
ItemId = 5510000
Count = 3
Price = 0
Bonus = 0
Period = 90
Priority = 80
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18938 = { 
SN = 92000092
ItemId = 5152056
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 97
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18939 = { 
SN = 92000093
ItemId = 5230000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 9
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18940 = { 
SN = 92000094
ItemId = 5370000
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 91
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18941 = { 
SN = 92000095
ItemId = 1112908
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 80
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18942 = { 
SN = 92000096
ItemId = 5122000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 95
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18943 = { 
SN = 92000097
ItemId = 5510000
Count = 3
Price = 0
Bonus = 0
Period = 90
Priority = 80
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18944 = { 
SN = 92000098
ItemId = 5130000
Count = 3
Price = 0
Bonus = 0
Period = 7
Priority = 40
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18945 = { 
SN = 92000099
ItemId = 5450000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 96
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18946 = { 
SN = 92000100
ItemId = 5140001
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 2
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18947 = { 
SN = 92000101
ItemId = 5500001
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 90
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18948 = { 
SN = 92000102
ItemId = 5153015
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 90
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18949 = { 
SN = 92000103
ItemId = 5150053
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 90
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18950 = { 
SN = 92000104
ItemId = 1112209
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18951 = { 
SN = 92000105
ItemId = 1112201
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18952 = { 
SN = 92000106
ItemId = 1112216
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18953 = { 
SN = 92000107
ItemId = 1112219
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18954 = { 
SN = 92000108
ItemId = 1112207
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18955 = { 
SN = 92000109
ItemId = 1112113
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 7
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18956 = { 
SN = 92000110
ItemId = 1112105
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 1
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18957 = { 
SN = 92000111
ItemId = 1112114
Count = 1
Price = 0
Bonus = 0
Period = 30
Priority = 4
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18958 = { 
SN = 92000112
ItemId = 5072000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 96
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18959 = { 
SN = 92000113
ItemId = 5041000
Count = 5
Price = 0
Bonus = 0
Period = 90
Priority = 9
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18960 = { 
SN = 92000114
ItemId = 5062000
Count = 3
Price = 0
Bonus = 0
Period = 90
Priority = 99
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18961 = { 
SN = 92000115
ItemId = 5160002
Count = 1
Price = 0
Bonus = 0
Period = 0
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18962 = { 
SN = 92000116
ItemId = 5160004
Count = 1
Price = 0
Bonus = 0
Period = 0
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18963 = { 
SN = 92000117
ItemId = 5160005
Count = 1
Price = 0
Bonus = 0
Period = 0
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18964 = { 
SN = 92000118
ItemId = 5041000
Count = 3
Price = 0
Bonus = 0
Period = 90
Priority = 9
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18965 = { 
SN = 92000119
ItemId = 5000079
Count = 1
Price = 0
Bonus = 0
Period = 0
Priority = 90
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18966 = { 
SN = 92000120
ItemId = 5000078
Count = 1
Price = 0
Bonus = 0
Period = 0
Priority = 90
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18967 = { 
SN = 92000121
ItemId = 5000080
Count = 1
Price = 0
Bonus = 0
Period = 0
Priority = 90
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18968 = { 
SN = 92000122
ItemId = 5050000
Count = 1
Price = 0
Bonus = 0
Period = 90
Priority = 5
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18969 = { 
SN = 92000123
ItemId = 1052137
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 90
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18970 = { 
SN = 92000124
ItemId = 1002665
Count = 1
Price = 0
Bonus = 0
Period = 7
Priority = 70
ReqPOP = 0
ReqLEV = 0
Gender = 2
OnSale = 0
Refundable = 0
WebShop = 0
}
18971 = { 
SN = 92000125
ItemId = 5160019
Count = 1
Price = 0
Bonus = 0
Period = 0
Priority = 5
